dat_reference;dat_previsao;val_vaz_prevista;num_termo;val_vaz_natr
2013-08-15;2013-08-15;65,85378342899773;1;65,0
2013-08-15;2013-08-16;65,30864738929068;2;65,0
2013-08-15;2013-08-17;65,19040979517912;3;65,0
2013-08-15;2013-08-18;64,32302156615847;4;65,0
2013-08-15;2013-08-19;61,31328205433162;5;64,0
2013-08-15;2013-08-20;61,241502491860075;6;64,0
2013-08-15;2013-08-21;65,07313498498546;7;65,0
2013-08-16;2013-08-16;65,77282855537104;1;65,0
2013-08-16;2013-08-17;65,18254448667463;2;65,0
2013-08-16;2013-08-18;65,05179077864406;3;65,0
2013-08-16;2013-08-19;64,2093979108401;4;64,0
2013-08-16;2013-08-20;61,252682221069726;5;64,0
2013-08-16;2013-08-21;61,24094109446189;6;65,0
2013-08-16;2013-08-22;65,12136069628497;7;65,0
2013-08-17;2013-08-17;65,82319356354247;1;65,0
2013-08-17;2013-08-18;65,23780728408826;2;65,0
2013-08-17;2013-08-19;65,09441582085591;3;64,0
2013-08-17;2013-08-20;64,17680111765021;4;64,0
2013-08-17;2013-08-21;61,13746432416933;5;65,0
2013-08-17;2013-08-22;61,0562480790496;6;65,0
2013-08-17;2013-08-23;64,88179793345917;7;64,0
2013-08-18;2013-08-18;65,77317682791403;1;65,0
2013-08-18;2013-08-19;65,11773462555774;2;64,0
2013-08-18;2013-08-20;64,92716894165433;3;64,0
2013-08-18;2013-08-21;63,89418795127039;4;65,0
2013-08-18;2013-08-22;60,77378387737449;5;65,0
2013-08-18;2013-08-23;60,65260400990691;6;64,0
2013-08-18;2013-08-24;64,44858329662294;7;64,0
2013-08-19;2013-08-19;65,19984007194219;1;64,0
2013-08-19;2013-08-20;64,43853222692711;2;64,0
2013-08-19;2013-08-21;64,27162881132278;3;65,0
2013-08-19;2013-08-22;63,23386969787275;4;65,0
2013-08-19;2013-08-23;60,172856670356374;5;64,0
2013-08-19;2013-08-24;60,16099783490839;6;64,0
2013-08-19;2013-08-25;64,0322916988994;7;63,0
2013-08-20;2013-08-20;64,92562828875786;1;64,0
2013-08-20;2013-08-21;64,27376480951224;2;65,0
2013-08-20;2013-08-22;64,22042754536788;3;65,0
2013-08-20;2013-08-23;63,22018787631231;4;64,0
2013-08-20;2013-08-24;60,13684093649123;5;64,0
2013-08-20;2013-08-25;60,08783708139179;6;63,0
2013-08-20;2013-08-26;63,91218347767035;7;62,0
2013-08-21;2013-08-21;65,5717385601506;1;65,0
2013-08-21;2013-08-22;65,02688987739465;2;65,0
2013-08-21;2013-08-23;64,93136972000123;3;64,0
2013-08-21;2013-08-24;63,859473897570865;4;64,0
2013-08-21;2013-08-25;60,63489615013478;5;63,0
2013-08-21;2013-08-26;60,407715236750455;6;62,0
2013-08-21;2013-08-27;64,1033914835742;7;61,0
2013-08-22;2013-08-22;65,37933920563661;1;65,0
2013-08-22;2013-08-23;64,68475582253511;2;64,0
2013-08-22;2013-08-24;64,53289830075364;3;64,0
2013-08-22;2013-08-25;63,514576654294366;4;63,0
2013-08-22;2013-08-26;60,434467767302785;5;62,0
2013-08-22;2013-08-27;60,37764845233732;6;61,0
2013-08-22;2013-08-28;64,21445632387277;7;61,0
2013-08-23;2013-08-23;64,70675754282168;1;64,0
2013-08-23;2013-08-24;64,04641664082959;2;64,0
