;dat_reference;dat_previsao;val_vaz_prevista;num_termo;val_vaz_natr
2013-08-20;2013-08-20;2013-08-20;63,595198672192794;1;64,0
2013-08-21;2013-08-20;2013-08-21;63,46298954627037;2;65,0
2013-08-22;2013-08-20;2013-08-22;63,04004353945346;3;65,0
2013-08-23;2013-08-20;2013-08-23;61,76992540658822;4;64,0
2013-08-24;2013-08-20;2013-08-24;59,92817816698483;5;64,0
2013-08-25;2013-08-20;2013-08-25;59,08319144584305;6;63,0
2013-08-26;2013-08-20;2013-08-26;57,81282971877348;7;62,0
2013-08-21;2013-08-21;2013-08-21;64,38440593102489;1;65,0
2013-08-22;2013-08-21;2013-08-22;64,21816331256969;2;65,0
2013-08-23;2013-08-21;2013-08-23;63,727924658566;3;64,0
2013-08-24;2013-08-21;2013-08-24;62,38644033301492;4;64,0
2013-08-25;2013-08-21;2013-08-25;60,47768696700851;5;63,0
2013-08-26;2013-08-21;2013-08-26;59,58234705179642;6;62,0
2013-08-27;2013-08-21;2013-08-27;58,2727831462583;7;61,0
2013-08-22;2013-08-22;2013-08-22;64,30049327286022;1;65,0
2013-08-23;2013-08-22;2013-08-23;64,1693471657617;2;64,0
2013-08-24;2013-08-22;2013-08-24;63,72930606726195;3;64,0
2013-08-25;2013-08-22;2013-08-25;62,43056090140246;4;63,0
2013-08-26;2013-08-22;2013-08-26;60,55723795741004;5;62,0
2013-08-27;2013-08-22;2013-08-27;59,68018812073466;6;61,0
2013-08-28;2013-08-22;2013-08-28;58,379678097394006;7;61,0
2013-08-23;2013-08-23;2013-08-23;63,7219186987255;1;64,0
2013-08-24;2013-08-23;2013-08-24;63,572325350869775;2;64,0
2013-08-25;2013-08-23;2013-08-25;63,123055402509145;3;63,0
2013-08-26;2013-08-23;2013-08-26;61,830826259969506;4;62,0
2013-08-27;2013-08-23;2013-08-27;59,96806275163629;5;61,0
2013-08-28;2013-08-23;2013-08-28;59,11301072333078;6;61,0
2013-08-29;2013-08-23;2013-08-29;57,83395817402485;7;60,0
2013-08-24;2013-08-24;2013-08-24;62,704917978704195;1;64,0
2013-08-25;2013-08-24;2013-08-25;62,623777177511;2;63,0
2013-08-26;2013-08-24;2013-08-26;62,290522664022525;3;62,0
2013-08-27;2013-08-24;2013-08-27;61,119009522522255;4;61,0
2013-08-28;2013-08-24;2013-08-28;59,36063740506546;5;61,0
2013-08-29;2013-08-24;2013-08-29;58,58328378608659;6;60,0
2013-08-30;2013-08-24;2013-08-30;57,35762113138152;7;59,0
2013-08-25;2013-08-25;2013-08-25;63,223443280158264;1;63,0
2013-08-26;2013-08-25;2013-08-26;63,189232044372105;2;62,0
2013-08-27;2013-08-25;2013-08-27;62,90780558033953;3;61,0
2013-08-28;2013-08-25;2013-08-28;61,768685769181474;4;61,0
2013-08-29;2013-08-25;2013-08-29;60,03043231960903;5;60,0
2013-08-30;2013-08-25;2013-08-30;59,25048245159597;6;59,0
2013-08-31;2013-08-25;2013-08-31;58,013558159429124;7;59,0
2013-08-26;2013-08-26;2013-08-26;63,20107632012035;1;62,0
