;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
0;2013-08-17;2013-08-17;1;65,0381653124401;65,0
1;2013-08-17;2013-08-18;2;65,08207661807107;65,0
2;2013-08-17;2013-08-19;3;65,1472434377073;64,0
3;2013-08-17;2013-08-20;4;65,18713542098867;64,0
4;2013-08-17;2013-08-21;5;65,22173209739687;65,0
5;2013-08-17;2013-08-22;6;65,25403024675856;65,0
6;2013-08-17;2013-08-23;7;65,28654829699524;64,0
7;2013-08-24;2013-08-24;1;64,03322639823011;64,0
8;2013-08-24;2013-08-25;2;64,06642919979613;63,0
9;2013-08-24;2013-08-26;3;64,0996084214559;62,0
10;2013-08-24;2013-08-27;4;64,13281435722884;61,0
11;2013-08-24;2013-08-28;5;64,16514291805676;61,0
12;2013-08-24;2013-08-29;6;64,1992255913359;60,0
13;2013-08-24;2013-08-30;7;64,23246486778935;59,0
14;2013-08-31;2013-08-31;1;59,03701859903185;59,0
15;2013-08-31;2013-09-01;2;59,07424795435945;58,0
16;2013-08-31;2013-09-02;3;59,1109725143706;58,0
17;2013-08-31;2013-09-03;4;59,14820447579508;58,0
18;2013-08-31;2013-09-04;5;58,886442980112356;58,0
19;2013-08-31;2013-09-05;6;58,91451399212768;63,0
20;2013-08-31;2013-09-06;7;59,002421888721244;69,0
21;2013-09-07;2013-09-07;1;69,05887688147476;72,0
22;2013-09-07;2013-09-08;2;69,08860937297406;69,0
23;2013-09-07;2013-09-09;3;69,1184459927898;67,0
24;2013-09-07;2013-09-10;4;69,14820622165361;64,0
25;2013-09-07;2013-09-11;5;69,17826199392404;61,0
26;2013-09-07;2013-09-12;6;69,20781090330951;59,0
27;2013-09-07;2013-09-13;7;69,23733882770333;58,0
28;2013-09-14;2013-09-14;1;58,03158373883709;57,0
29;2013-09-14;2013-09-15;2;58,067476465952325;56,0
30;2013-09-14;2013-09-16;3;58,104935299347396;56,0
31;2013-09-14;2013-09-17;4;58,16739061548556;55,0
32;2013-09-14;2013-09-18;5;58,25474876184891;55,0
33;2013-09-14;2013-09-19;6;58,32199605731411;55,0
34;2013-09-14;2013-09-20;7;58,36682193076282;56,0
35;2013-09-21;2013-09-21;1;56,036929272375595;57,0
36;2013-09-21;2013-09-22;2;56,075834427913634;56,0
37;2013-09-21;2013-09-23;3;56,165339880171956;55,0
38;2013-09-21;2013-09-24;4;56,092844856928295;56,0
39;2013-09-21;2013-09-25;5;56,127136393717784;62,0
40;2013-09-21;2013-09-26;6;56,236869435922785;70,0
41;2013-09-21;2013-09-27;7;56,27611158517714;73,0
42;2013-09-28;2013-09-28;1;73,02691838926494;72,0
43;2013-09-28;2013-09-29;2;72,78317772199928;67,0
44;2013-09-28;2013-09-30;3;72,668286252493;69,0
45;2013-09-28;2013-10-01;4;72,73242303363666;70,0
46;2013-09-28;2013-10-02;5;72,50892668029469;71,0
47;2013-09-28;2013-10-03;6;72,41828830035772;76,0
48;2013-09-28;2013-10-04;7;72,60516405880955;91,0
49;2013-10-05;2013-10-05;1;90,93598380243678;104,0
50;2013-10-05;2013-10-06;2;90,9183924406627;103,0
51;2013-10-05;2013-10-07;3;90,93270943219626;96,0
52;2013-10-05;2013-10-08;4;90,9510156637315;85,0
53;2013-10-05;2013-10-09;5;90,95940423851638;77,0
54;2013-10-05;2013-10-10;6;90,98756515987827;72,0
55;2013-10-05;2013-10-11;7;91,00234970102089;66,0
56;2013-10-12;2013-10-12;1;66,0319643438234;64,0
57;2013-10-12;2013-10-13;2;66,06407023991589;63,0
58;2013-10-12;2013-10-14;3;66,09592039209578;61,0
59;2013-10-12;2013-10-15;4;66,14120556336651;60,0
60;2013-10-12;2013-10-16;5;66,15436038064105;61,0
61;2013-10-12;2013-10-17;6;66,15041785063963;70,0
62;2013-10-12;2013-10-18;7;66,01093422220866;85,0
63;2013-10-19;2013-10-19;1;85,13930525232911;92,0
64;2013-10-19;2013-10-20;2;85,18080712930751;96,0
65;2013-10-19;2013-10-21;3;85,20210577487674;97,0
66;2013-10-19;2013-10-22;4;85,05614971380884;89,0
67;2013-10-19;2013-10-23;5;85,01809069419254;88,0
68;2013-10-19;2013-10-24;6;85,05407671702919;93,0
69;2013-10-19;2013-10-25;7;85,0723509686989;84,0
70;2013-10-26;2013-10-26;1;84,0250584670534;72,0
71;2013-10-26;2013-10-27;2;84,04677229419;67,0
72;2013-10-26;2013-10-28;3;84,11603800719136;63,0
73;2013-10-26;2013-10-29;4;84,14876459122594;60,0
74;2013-10-26;2013-10-30;5;84,16768177584257;58,0
75;2013-10-26;2013-10-31;6;84,20045014697507;57,0
76;2013-10-26;2013-11-01;7;84,25495070202156;57,0
77;2013-11-02;2013-11-02;1;57,05206122337147;57,0
78;2013-11-02;2013-11-03;2;57,09251604760091;57,0
79;2013-11-02;2013-11-04;3;57,134238491687476;56,0
80;2013-11-02;2013-11-05;4;57,31610662357983;56,0
81;2013-11-02;2013-11-06;5;57,42334225219179;58,0
82;2013-11-02;2013-11-07;6;56,834010456187464;63,0
83;2013-11-02;2013-11-08;7;56,80930048674133;77,0
84;2013-11-09;2013-11-09;1;76,9715561655826;95,0
85;2013-11-09;2013-11-10;2;76,99430646703796;99,0
86;2013-11-09;2013-11-11;3;77,01940762662946;85,0
87;2013-11-09;2013-11-12;4;77,0444015916414;79,0
88;2013-11-09;2013-11-13;5;77,07281736428584;74,0
89;2013-11-09;2013-11-14;6;77,09954648078862;69,0
90;2013-11-09;2013-11-15;7;77,12349346374471;67,0
91;2013-11-16;2013-11-16;1;67,03133569141183;66,0
92;2013-11-16;2013-11-17;2;67,16450456934486;66,0
93;2013-11-16;2013-11-18;3;67,23232413843739;69,0
94;2013-11-16;2013-11-19;4;67,3997896226085;79,0
95;2013-11-16;2013-11-20;5;67,60142358378327;91,0
96;2013-11-16;2013-11-21;6;67,72075849720373;91,0
97;2013-11-16;2013-11-22;7;67,79203474887032;82,0
98;2013-11-23;2013-11-23;1;81,6277508533975;87,0
99;2013-11-23;2013-11-24;2;81,48104942214754;108,0
100;2013-11-23;2013-11-25;3;81,50974765399836;113,0
101;2013-11-23;2013-11-26;4;81,0830628279139;116,0
102;2013-11-23;2013-11-27;5;81,34873391776179;133,0
103;2013-11-23;2013-11-28;6;81,54585257086187;157,0
104;2013-11-23;2013-11-29;7;81,6668349636947;169,0
105;2013-11-30;2013-11-30;1;168,56737963582717;190,0
106;2013-11-30;2013-12-01;2;167,62733979786296;266,0
107;2013-11-30;2013-12-02;3;167,43898027048218;337,0
108;2013-11-30;2013-12-03;4;167,33861507739616;384,0
109;2013-11-30;2013-12-04;5;167,1966969270238;383,0
110;2013-11-30;2013-12-05;6;167,16081784505676;329,0
111;2013-11-30;2013-12-06;7;167,26124060944372;253,0
112;2013-12-07;2013-12-07;1;253,06329324542313;204,0
113;2013-12-07;2013-12-08;2;253,00900422120515;183,0
114;2013-12-07;2013-12-09;3;252,92424079513393;164,0
115;2013-12-07;2013-12-10;4;252,80448308579662;148,0
116;2013-12-07;2013-12-11;5;252,68499736893895;151,0
117;2013-12-07;2013-12-12;6;252,6135273039388;170,0
118;2013-12-07;2013-12-13;7;252,505185543481;178,0
119;2013-12-14;2013-12-14;1;177,94372026222663;173,0
120;2013-12-14;2013-12-15;2;177,8899104935866;157,0
121;2013-12-14;2013-12-16;3;177,5498515809175;145,0
122;2013-12-14;2013-12-17;4;177,29114240904485;141,0
123;2013-12-14;2013-12-18;5;177,15628497086217;131,0
124;2013-12-14;2013-12-19;6;177,11664822447187;121,0
125;2013-12-14;2013-12-20;7;176,98850595046062;113,0
126;2013-12-21;2013-12-21;1;112,94488275222629;109,0
127;2013-12-21;2013-12-22;2;113,10535897968255;109,0
128;2013-12-21;2013-12-23;3;113,02111247616142;114,0
129;2013-12-21;2013-12-24;4;113,03612496667688;142,0
130;2013-12-21;2013-12-25;5;113,40407847685195;172,0
131;2013-12-21;2013-12-26;6;113,50950444660377;152,0
132;2013-12-21;2013-12-27;7;113,67598305577302;135,0
133;2013-12-28;2013-12-28;1;134,95620654969713;127,0
134;2013-12-28;2013-12-29;2;134,98597542326752;122,0
135;2013-12-28;2013-12-30;3;135,12738151827662;117,0
136;2013-12-28;2013-12-31;4;135,09560615715654;108,0
137;2013-12-28;2014-01-01;5;135,1334393091408;100,0
138;2013-12-28;2014-01-02;6;135,51814426946467;119,0
139;2013-12-28;2014-01-03;7;135,61075898867475;138,0
140;2014-01-04;2014-01-04;1;137,8319110736371;116,0
141;2014-01-04;2014-01-05;2;137,81556327817358;104,0
142;2014-01-04;2014-01-06;3;137,79787262460164;92,0
143;2014-01-04;2014-01-07;4;137,78319620230536;85,0
144;2014-01-04;2014-01-08;5;137,76641568900422;80,0
145;2014-01-04;2014-01-09;6;137,74725478602704;77,0
146;2014-01-04;2014-01-10;7;137,74613050394012;75,0
147;2014-01-11;2014-01-11;1;75,06203547976996;73,0
